,Date,Average_Iron_Ore_Price,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
1520,2011Q2,172.70000000000002,Murdoch,770000,4.0,2,6150,Perth
1521,2011Q2,172.70000000000002,Mariginiup,825000,4.0,2,6078,Perth
1529,2011Q2,172.70000000000002,Forrestdale,1210000,4.0,2,6112,Perth
1531,2011Q2,172.70000000000002,Champion Lakes,1010000,4.0,2,6111,Perth
1533,2011Q2,172.70000000000002,Parkerville,670000,4.0,2,6081,Perth
1534,2011Q2,172.70000000000002,Cardup,1230000,4.0,2,6122,Perth
1535,2011Q2,172.70000000000002,Carabooda,780000,4.0,2,6033,Perth
1536,2011Q2,172.70000000000002,Murdoch,680000,4.0,2,6150,Perth
1537,2011Q3,175.5666666666667,Marmion,1600000,4.0,2,6020,Perth
1538,2011Q3,175.5666666666667,Waterford,559900,4.0,2,6152,Perth
1540,2011Q3,175.5666666666667,Parkerville,500000,4.0,2,6081,Perth
1541,2011Q3,175.5666666666667,Murdoch,555000,4.0,2,6150,Perth
1545,2011Q3,175.5666666666667,Murdoch,613000,4.0,2,6150,Perth
1546,2011Q3,175.5666666666667,Wooroloo,310000,4.0,2,6558,Perth
1548,2011Q3,175.5666666666667,Jarrahdale,849000,4.0,2,6124,Perth
1549,2011Q3,175.5666666666667,Kiara,400000,4.0,2,6054,Perth
